Receipted donations  (0%)
Receipted donations  (0%)
Receipted donations $10,105 (93%)
Receipted donations $221,962 (62%)
Receipted donations $262,599 (73%)
Receipted donations $897,387 (49%)
Receipted donations $52,688 (36%)
Receipted donations $29,692 (34%)
Receipted donations  (0%)
Receipted donations $18,388 (83%)
Receipted donations $21,168 (100%)
Receipted donations $943,486 (78%)
Receipted donations $998,253 (94%)
Receipted donations  (0%)
Receipted donations $125,676 (100%)
Receipted donations $619,376 (44%)
Receipted donations $398,904 (57%)
Receipted donations $107,898 (24%)
Receipted donations $30,000 (100%)
Receipted donations $42,030 (64%)
Receipted donations $21,990 (26%)
Receipted donations $1,460 (5%)
Receipted donations  (0%)
Receipted donations $289,587 (48%)
Receipted donations $420,724 (50%)
Receipted donations $735,618 (93%)
Receipted donations $19,150 (95%)
Receipted donations $965,914 (82%)
Receipted donations $52,545 (37%)
Receipted donations $15,601 (17%)
Receipted donations $160,407 (67%)
Receipted donations $41,953 (80%)
Receipted donations $53,368 (56%)
Receipted donations $257,021 (40%)
Receipted donations $7,142 (50%)
Receipted donations $96,626 (14%)
Receipted donations $5,475 (69%)
Receipted donations $2,124,860 (38%)
Receipted donations $321,676 (45%)
Receipted donations $29,115 (22%)
Receipted donations $331,627 (99%)
Receipted donations $350 (1%)
Receipted donations $105,554 (36%)
Receipted donations $916,297 (71%)
Receipted donations $500 (100%)
Receipted donations $364,560 (48%)
Receipted donations $176,840 (100%)
Receipted donations $101,136 (5%)
Receipted donations $1,500 (93%)
Receipted donations $49,839 (96%)
Receipted donations $6,775 (73%)
Receipted donations $21,493 (29%)
Receipted donations $21,802 (69%)
Receipted donations $112,648 (63%)
Receipted donations $103,140 (64%)
Receipted donations  (0%)
Receipted donations  (0%)
Receipted donations $43,532 (78%)
Receipted donations  (0%)
Receipted donations $67,433 (29%)
Receipted donations $30,680 (49%)
Receipted donations $7,788 (100%)
Receipted donations $325,387 (56%)
Receipted donations $262,599 (73%)
Receipted donations $406,294 (64%)
Receipted donations $2,351,403 (94%)
Receipted donations $511,414 (57%)
Receipted donations $150,904 (31%)
Receipted donations $198,915 (57%)
Receipted donations $3,000 (100%)
Receipted donations  (0%)
Receipted donations $223,963 (79%)
Receipted donations $91,489 (100%)
Receipted donations $43,838 (46%)
Receipted donations $302,785 (100%)
Receipted donations $440,742 (73%)
Receipted donations  (0%)
Receipted donations $21,085 (38%)
Receipted donations $25,395 (98%)
Receipted donations $74,478 (53%)
Receipted donations $53,089 (66%)
Receipted donations $524,716 (55%)
Receipted donations $969,081 (71%)
Receipted donations $604,308 (82%)
Receipted donations $497,053 (41%)
Receipted donations $1,285,187 (41%)
Receipted donations $66,783 (51%)
Receipted donations $2,172,268 (88%)
Receipted donations $229,450 (46%)
Receipted donations $212,869 (54%)
Receipted donations $2,000 (84%)
Receipted donations $288,286 (91%)
Receipted donations $51,750 (17%)
Receipted donations $133,078 (100%)
Receipted donations $3,626,823 (57%)
Receipted donations $76,124 (84%)
Receipted donations $218,050 (53%)
Receipted donations $18,556,801 (65%)
Receipted donations $946,009 (62%)
Receipted donations $187,776 (33%)
Receipted donations $683,065 (100%)
Receipted donations $53,341 (100%)
Receipted donations $1,436,595 (60%)
Receipted donations $1,097,049 (100%)
Receipted donations  (0%)
Receipted donations $219,060 (59%)
Receipted donations $2,606,930 (85%)
Receipted donations $3,430,451 (51%)
Receipted donations $632,184 (52%)
Receipted donations $5,000 (100%)
Receipted donations $46,800 (87%)
Receipted donations $8,025,843 (56%)
Receipted donations $51,430 (100%)
Receipted donations $14,708 (86%)
Receipted donations $274,196 (66%)
Receipted donations $2,500 (84%)
Receipted donations $33,935 (49%)
Receipted donations $253,662 (89%)
Receipted donations $151,832 (82%)
Receipted donations $34,700 (91%)
Receipted donations $97,002 (61%)
Receipted donations $28,830 (26%)
Receipted donations $3,170 (93%)
Receipted donations $275,564 (64%)
Receipted donations $25,250 (3%)
Receipted donations $602,823 (100%)
Receipted donations $371,863 (68%)
Receipted donations $694,343 (87%)
Receipted donations $1,063,500 (99%)
Receipted donations  (0%)
Receipted donations $16,745 (77%)
Receipted donations $32,785 (58%)
Receipted donations $28,669 (58%)
Receipted donations $492,155 (77%)
Receipted donations  (0%)
Receipted donations $89,670 (91%)
Receipted donations $120,074 (16%)
Receipted donations $2,775 (100%)
Receipted donations $59,760 (57%)
Receipted donations $63,370 (54%)
Receipted donations  (0%)
Receipted donations $170,550 (100%)
Receipted donations $581,098 (66%)
Receipted donations $12,900 (46%)
Receipted donations $49,681 (37%)
Receipted donations $9,015 (16%)
Receipted donations $1,586,600 (14%)
Receipted donations $9,994 (44%)
Receipted donations $5,535 (8%)
Receipted donations $59,762 (40%)
Receipted donations $3,910 (73%)
Receipted donations $59,215 (77%)
Receipted donations $149,834 (72%)
Receipted donations $82,241 (57%)
Receipted donations  (0%)
Receipted donations $6,050 (4%)
Receipted donations $104,630 (96%)
Receipted donations $343,840 (65%)
Receipted donations $195,980 (43%)
Receipted donations $128,635 (36%)
Receipted donations $37,850 (84%)
Receipted donations $59,230 (17%)
Receipted donations $124,974 (38%)
Receipted donations $800 (3%)
